Date,edinetCode,code,Close,Volume,MarketCap,EV,PER,PBR,EPS_calc,BPS,NetAssets,NetIncome,OperatingIncome
2024-06-13,E02362,6861,67782.265625,439300,,,348.11907773098454,,194.71,,236698000000.0,34621000000,20284000000.0
2024-06-14,E02362,6861,67181.3828125,665400,,,345.0330379153613,,194.71,,236698000000.0,34621000000,20284000000.0
2024-06-17,E02362,6861,66777.5,347000,,,342.9587591803194,,194.71,,236698000000.0,34621000000,20284000000.0
2024-06-18,E02362,6861,66688.84375,322000,,,342.50343459503875,,194.71,,236698000000.0,34621000000,20284000000.0
2024-06-19,E02362,6861,67890.6171875,466300,,,348.67555435005903,,194.71,,236698000000.0,34621000000,20284000000.0
2024-06-20,E02362,6861,68127.0390625,325000,,,349.8897799933234,,194.71,,236698000000.0,34621000000,20284000000.0
2024-06-21,E02362,6861,69053.0,780100,,,354.64537003749166,,194.71,,236698000000.0,34621000000,20284000000.0
2024-06-24,E02362,6861,68757.484375,382000,,,353.12764816907196,,194.71,,236698000000.0,34621000000,20284000000.0
2024-06-25,E02362,6861,69515.9765625,386000,,,357.02314499768886,,194.71,,236698000000.0,34621000000,20284000000.0
2024-06-26,E02362,6861,71210.296875,692800,,,365.7249081968055,,194.71,,236698000000.0,34621000000,20284000000.0
2024-06-27,E02362,6861,69476.5703125,528200,,,356.82076068255355,,194.71,,236698000000.0,34621000000,20284000000.0
2024-06-28,E02362,6861,69496.2734375,539800,,,356.9219528401212,,194.71,,236698000000.0,34621000000,20284000000.0
2024-07-01,E02362,6861,69772.09375,391800,,,358.338522674747,,194.71,,236698000000.0,34621000000,20284000000.0
2024-07-02,E02362,6861,70028.203125,511900,,,359.6538602280314,,194.71,,236698000000.0,34621000000,20284000000.0
2024-07-03,E02362,6861,71279.2421875,569300,,,366.07900050074466,,194.71,,236698000000.0,34621000000,20284000000.0
2024-07-04,E02362,6861,72087.0,449100,,,370.22751784705457,,194.71,,236698000000.0,34621000000,20284000000.0
2024-07-05,E02362,6861,71614.1640625,295400,,,367.7991066842997,,194.71,,236698000000.0,34621000000,20284000000.0
2024-07-08,E02362,6861,71929.3828125,364100,,,369.41802071028707,,194.71,,236698000000.0,34621000000,20284000000.0
2024-07-09,E02362,6861,74451.1484375,664900,,,382.36941316573365,,194.71,,236698000000.0,34621000000,20284000000.0
2024-07-10,E02362,6861,74697.4140625,642500,,,383.634194764008,,194.71,,236698000000.0,34621000000,20284000000.0
2024-07-11,E02362,6861,75603.6796875,566300,,,388.2886327743824,,194.71,,236698000000.0,34621000000,20284000000.0
